observation_date,CEU7000000001
2003-02-01,11599
2003-03-01,11769
2003-04-01,11984
2003-05-01,12302
2003-06-01,12671
2003-07-01,12776
2003-08-01,12768
2003-09-01,12391
2003-10-01,12177
2003-11-01,12026
2003-12-01,12041
2004-01-01,11760
2004-02-01,11838
2004-03-01,12077
2004-04-01,12355
2004-05-01,12691
2004-06-01,13051
2004-07-01,13128
2004-08-01,13083
2004-09-01,12729
2004-10-01,12519
2004-11-01,12348
2004-12-01,12336
2005-01-01,12064
2005-02-01,12151
2005-03-01,12365
2005-04-01,12711
2005-05-01,13010
2005-06-01,13413
2005-07-01,13514
2005-08-01,13497
2005-09-01,13041
2005-10-01,12782
2005-11-01,12629
2005-12-01,12609
2006-01-01,12339
2006-02-01,12438
2006-03-01,12674
2006-04-01,12960
2006-05-01,13268
2006-06-01,13638
2006-07-01,13790
2006-08-01,13764
2006-09-01,13322
2006-10-01,13125
2006-11-01,12994
2006-12-01,13005
2007-01-01,12703
2007-02-01,12790
2007-03-01,12987
2007-04-01,13260
2007-05-01,13630
2007-06-01,14012
2007-07-01,14092
2007-08-01,14045
2007-09-01,13637
2007-10-01,13441
2007-11-01,13278
2007-12-01,13244
2008-01-01,12905
2008-02-01,12971
2008-03-01,13156
2008-04-01,13396
2008-05-01,13709
2008-06-01,14052
2008-07-01,14129
2008-08-01,14056
2008-09-01,13563
2008-10-01,13300
2008-11-01,13040
2008-12-01,12959
2009-01-01,12607
2009-02-01,12616
2009-03-01,12748
2009-04-01,12977
2009-05-01,13337
2009-06-01,13656
2009-07-01,13746
2009-08-01,13675
2009-09-01,13245
2009-10-01,12956
2009-11-01,12735
2009-12-01,12631
2010-01-01,12315
2010-02-01,12359
2010-03-01,12578
2010-04-01,12915
2010-05-01,13243
2010-06-01,13616
2010-07-01,13720
2010-08-01,13712
2010-09-01,13351
2010-10-01,13085
2010-11-01,12872
2010-12-01,12818
2011-01-01,12477
2011-02-01,12614
2011-03-01,12881
2011-04-01,13233
2011-05-01,13535
2011-06-01,13947
2011-07-01,14032
2011-08-01,14023
2011-09-01,13629
2011-10-01,13418
2011-11-01,13249
2011-12-01,13195
2012-01-01,12904
2012-02-01,13038
2012-03-01,13334
2012-04-01,13626
2012-05-01,13959
2012-06-01,14329
2012-07-01,14411
2012-08-01,14434
2012-09-01,14055
2012-10-01,13838
2012-11-01,13646
2012-12-01,13646
2013-01-01,13324
2013-02-01,13470
2013-03-01,13740
2013-04-01,14074
2013-05-01,14459
2013-06-01,14881
2013-07-01,14978
2013-08-01,14961
2013-09-01,14518
2013-10-01,14346
2013-11-01,14174
2013-12-01,14124
2014-01-01,13815
2014-02-01,13908
2014-03-01,14181
2014-04-01,14524
2014-05-01,14935
2014-06-01,15333
2014-07-01,15407
2014-08-01,15365
2014-09-01,14948
2014-10-01,14787
2014-11-01,14587
2014-12-01,14563
2015-01-01,14234
2015-02-01,14374
2015-03-01,14599
2015-04-01,14947
2015-05-01,15365
2015-06-01,15768
2015-07-01,15878
2015-08-01,15845
2015-09-01,15441
2015-10-01,15293
2015-11-01,15103
2015-12-01,15077
2016-01-01,14747
2016-02-01,14889
2016-03-01,15143
2016-04-01,15480
2016-05-01,15845
2016-06-01,16320
2016-07-01,16421
2016-08-01,16383
2016-09-01,15930
2016-10-01,15721
2016-11-01,15550
2016-12-01,15489
2017-01-01,15124
2017-02-01,15283
2017-03-01,15524
2017-04-01,15887
2017-05-01,16285
2017-06-01,16758
2017-07-01,16886
2017-08-01,16808
2017-09-01,16226
2017-10-01,16098
2017-11-01,15875
2017-12-01,15859
